uid,sid
60,95
60,100
60,124
60,111
60,103
60,125
60,89
60,62
60,31
61,143
61,1
61,79
61,56
61,93
61,51
61,76
61,128
61,17
61,136
62,64
62,90
62,145
62,32
62,70
62,50
62,66
62,100
62,38
62,8
62,104
62,138
62,61
62,62
62,115
62,31
63,63
63,83
63,143
63,33
63,91
63,92
63,34
63,59
63,18
63,136
63,30
64,63
64,73
64,21
64,143
64,33
64,79
64,127
64,92
64,99
64,56
64,74
64,13
64,95
64,38
64,58
64,28
64,103
64,129
64,125
64,126
64,89
64,62
64,146
65,0
65,64
65,145
65,73
65,98
65,4
65,92
65,85
65,77
65,101
65,128
65,68
65,106
65,138
65,17
65,136
65,30
65,88
66,45
66,32
66,147
66,13
66,118
66,14
66,71
66,87
66,15
66,37
66,39
66,115
67,10
67,113
67,98
67,123
67,84
67,109
67,110
67,148
67,95
67,100
67,101
67,43
67,29
67,126
68,63
68,78
68,46
68,65
68,90
68,113
68,21
68,143
68,98
68,55
68,108
68,11
68,91
68,4
68,99
68,109
68,74
68,85
68,110
68,6
68,71
68,95
68,67
68,15
68,101
68,128
68,68
68,72
68,29
68,125
68,138
68,126
68,30
68,97
68,31
69,64
69,145
69,22
69,66
69,14
69,94
69,100
69,67
69,7
69,96
69,61
69,131
70,10
70,47
70,23
70,108
70,11
70,149
70,84
70,109
70,49
70,110
70,14
70,95
70,52
70,124
70,37
70,101
70,53
70,59
70,126
70,62
70,31
71,45
71,65
71,22
71,139
71,85
71,12
71,67
71,68
71,103
71,17
71,136
71,62
72,64
72,54
72,25
72,41
72,99
72,34
72,66
72,26
72,15
72,120
73,45
73,46
73,54
73,147
73,48
73,40
73,24
73,41
73,150
73,144
73,12
73,35
73,124
73,103
73,53
73,129
73,59
73,106
73,43
73,19
73,97
73,31
74,64
74,46
74,145
74,83
74,40
74,4
74,117
74,129
74,106
74,61
74,31
75,0
75,45
75,137
75,91
75,14
75,8
75,39
75,136
75,89
75,44
76,78
76,90
76,85
76,117
76,118
76,6
76,68
76,112
76,18
76,136
76,31
77,10
77,54
77,47
77,48
77,11
77,41
77,99
77,101
77,72
77,59
77,126
77,61
77,62
77,31
78,83
78,56
78,76
78,77
78,128
78,114
78,103
78,59
78,106
78,136
78,31
79,65
79,47
79,41
79,91
79,99
79,110
79,111
79,72
79,106
79,17
79,69
80,73
80,150
80,99
80,93
80,77
80,38
80,103
80,72
80,53
80,59
80,31
81,63
81,4
81,93
81,6
81,71
81,26
81,59
81,120
81,18
81,31
82,107
82,64
82,46
82,32
82,1
82,149
82,134
82,95
82,59
82,104
82,43
82,39
82,96
82,62
82,31
83,63
83,40
83,150
83,92
83,109
83,76
83,77
83,114
83,72
83,53
83,18
83,62
83,31
84,21
84,4
84,84
84,102
84,34
84,144
84,51
84,15
84,37
84,151
84,42
84,103
84,138
84,89
85,46
85,65
85,90
85,32
85,98
85,48
85,79
85,149
85,109
85,74
85,93
85,6
85,52
85,87
85,101
85,114
85,28
85,103
85,18
86,78
86,141
86,65
86,137
86,32
86,5
86,117
86,71
86,128
86,68
86,8
86,60
86,61
87,64
87,48
87,139
87,99
87,93
87,117
87,94
87,71
87,95
87,27
87,58
87,28
87,120
87,62
88,64
88,98
88,48
88,99
88,149
88,56
88,74
88,93
88,77
88,67
88,124
88,101
88,114
88,112
88,125
88,62
89,46
89,98
89,79
89,76
89,95
89,87
89,101
89,68
89,58
